OverallStatus,HealthyVolunteers,DurationDays,Phase,Gender,DesignPrimaryPurpose,DesignInterventionModel,DesignAllocation,EnrollmentCount,ArmNumber,AgeGroups,AdverseEffectsorDeath
Completed,Accept,shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,median_Enrol,2,childTeen-infants,highAD
Completed,Accept,shortLen,Phase 2,All,Prevention,Parallel Assignment,Non-Randomized,relatively_smallEnrol,1,adults-infants,medianAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,median_Enrol,3,infants,highAD
Completed,Accept,shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,median_Enrol,3,infants,highAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,median_Enrol,2,childTeen,medianAD
Completed,Accept,shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,median_Enrol,2,adults-childTeen,highAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,largeEnrol,3,adults,medianAD
Completed,Accept,relatively_shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,median_Enrol,2,adults-childTeen,medianAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,3,infants,highAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,3,infants,highAD
Completed,Accept,shortLen,Phase 4,All,Prevention,Single Group Assignment,Non-Randomized,relatively_smallEnrol,1,allAges,noAD
Completed,Accept,shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,median_Enrol,5,infants,highAD
Completed,Accept,relatively_shortLen,Phase 1,All,Prevention,Parallel Assignment,Randomized,smallEnrol,3,adults,noAD
Completed,Accept,shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,median_Enrol,2,adults-infants,noAD
"Active, not recruiting",Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,medianAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,median_Enrol,3,adults-childTeen,highAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,median_Enrol,3,infants,medianAD
Completed,Accept,relatively_shortLen,Phase 1|Phase 2,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,2,infants,highAD
Completed,Accept,relatively_shortLen,Phase 1,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,6,adults,highAD
Completed,Accept,medianLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,2,childTeen-infants,noAD
Completed,Accept,medianLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,largeEnrol,5,infants,highAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,largeEnrol,2,childTeen-infants,highAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,median_Enrol,3,adults-childTeen,medianAD
Completed,Accept,shortLen,Phase 2,All,Prevention,Parallel Assignment,Non-Randomized,relatively_smallEnrol,1,adults-childTeen,noAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,2,infants,highAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,median_Enrol,1,childTeen-infants,highAD
Terminated,Accept,shortLen,Phase 1,All,Treatment,Parallel Assignment,Randomized,smallEnrol,3,adults,noAD
Completed,No,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,very_highAD
Completed,No,relatively_shortLen,Phase 2,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,adults-infants,very_highAD
Completed,Accept,relatively_shortLen,Phase 3,Female,Prevention,Parallel Assignment,Randomized,largeEnrol,3,adults-childTeen,highAD
Completed,Accept,shortLen,Phase 2,Female,Treatment,Parallel Assignment,Randomized,largeEnrol,2,adults,highAD
Completed,Accept,shortLen,Phase 4,All,Prevention,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,medianAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,2,adults,highAD
Completed,No,relatively_shortLen,Not Applicable,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,elderly-adults,highAD
Completed,Accept,shortLen,Phase 3,All,Prevention,Single Group Assignment,SingleArmNA,relatively_smallEnrol,1,allAges,noAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,very_highAD
Completed,Accept,relatively_shortLen,Phase 4,All,Prevention,Sequential Assignment,Randomized,median_Enrol,2,childTeen-infants,medianAD
Completed,Accept,shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,median_Enrol,3,elderly,highAD
Completed,Accept,shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,largeEnrol,4,adults,medianAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,very_largeEnrol,4,elderly-adults,highAD
Completed,Accept,relatively_shortLen,Phase 1|Phase 2,All,Prevention,Parallel Assignment,Randomized,median_Enrol,3,adults-infants,highAD
Completed,Accept,shortLen,Phase 4,All,Basic Science,Parallel Assignment,Randomized,median_Enrol,6,elderly-adults,highAD
Completed,Accept,shortLen,Phase 3,All,Prevention,Single Group Assignment,Non-Randomized,relatively_smallEnrol,1,allAges,noAD
Completed,Accept,shortLen,Phase 4,All,Prevention,Single Group Assignment,Non-Randomized,median_Enrol,1,infants,noAD
Completed,No,relatively_shortLen,Phase 3,All,Prevention,Single Group Assignment,Non-Randomized,smallEnrol,2,childTeen-infants,noAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Non-Randomized,median_Enrol,5,infants,highAD
Completed,No,shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,2,adults-childTeen,noAD
Completed,Accept,shortLen,Phase 3,All,Prevention,Parallel Assignment,Non-Randomized,relatively_smallEnrol,3,childTeen-infants,highAD
Completed,Accept,shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,median_Enrol,3,adults-childTeen,medianAD
Completed,Accept,shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,2,infants,highAD
Completed,Accept,relatively_shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,3,adults-childTeen,highAD
Completed,Accept,shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,3,childTeen,highAD
Completed,Accept,shortLen,Phase 3,All,Prevention,Single Group Assignment,Non-Randomized,smallEnrol,1,elderly-adults,noAD
Completed,Accept,relatively_shortLen,Phase 4,All,Prevention,Single Group Assignment,Non-Randomized,median_Enrol,1,childTeen,medianAD
Completed,Accept,medianLen,Phase 4,All,Prevention,Single Group Assignment,SingleArmNA,very_largeEnrol,1,adults-infants,medianAD
Completed,No,shortLen,Phase 3,All,Prevention,Parallel Assignment,Non-Randomized,relatively_smallEnrol,1,infants,noAD
Completed,Accept,relatively_shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,median_Enrol,4,adults-childTeen,highAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Non-Randomized,median_Enrol,1,infants,highAD
Completed,Accept,relatively_shortLen,Phase 2,All,Prevention,Parallel Assignment,Non-Randomized,relatively_smallEnrol,2,infants,highAD
Completed,Accept,relatively_shortLen,Phase 2,All,Prevention,Parallel Assignment,Non-Randomized,relatively_smallEnrol,2,infants,highAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,median_Enrol,5,infants,highAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,largeEnrol,8,infants,highAD
Completed,Accept,relatively_shortLen,Phase 2|Phase 3,All,Prevention,Parallel Assignment,Randomized,largeEnrol,2,childTeen,highAD
Completed,Accept,relatively_shortLen,Phase 2,All,Prevention,Parallel Assignment,Non-Randomized,median_Enrol,2,infants,highAD
Completed,Accept,relatively_shortLen,Phase 2,All,Prevention,Crossover Assignment,Randomized,smallEnrol,2,adults,noAD
Completed,Accept,relatively_shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,5,infants,highAD
Completed,Accept,relatively_shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,smallEnrol,2,infants,highAD
Completed,Accept,shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,largeEnrol,2,childTeen-infants,medianAD
Completed,No,relatively_shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,median_Enrol,3,childTeen,highAD
Completed,No,relatively_shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,median_Enrol,2,childTeen-infants,highAD
Completed,Accept,relatively_shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,median_Enrol,8,infants,very_highAD
Terminated,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,infants,noAD
Completed,Accept,relatively_shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,2,adults,highAD
Completed,Accept,shortLen,Phase 2|Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,adults,noAD
Completed,No,shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,3,elderly-adults,highAD
Completed,Accept,shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,3,adults,noAD
Completed,Accept,shortLen,Phase 1,All,Other,Parallel Assignment,Randomized,smallEnrol,2,adults,noAD
Completed,Accept,shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,2,adults,noAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,median_Enrol,2,adults,medianAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,very_largeEnrol,4,adults,highAD
Completed,Accept,relatively_shortLen,Not Applicable,All,Supportive Care,Parallel Assignment,Randomized,smallEnrol,1,childTeen-infants,noAD
Completed,Accept,shortLen,Phase 1,All,Other,Sequential Assignment,Randomized,smallEnrol,2,elderly-adults,noAD
Completed,Accept,shortLen,Phase 1,All,Other,Crossover Assignment,Randomized,smallEnrol,2,elderly-adults,highAD
Completed,Accept,shortLen,Phase 1,All,Other,Parallel Assignment,Randomized,relatively_smallEnrol,2,elderly-adults,medianAD
Completed,Accept,shortLen,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,relatively_smallEnrol,1,elderly-adults,medianAD
Completed,Accept,relatively_shortLen,Phase 1|Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,6,elderly-adults,highAD
Completed,No,longLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,2,infants,very_highAD
Completed,No,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,2,elderly-adults,highAD
Completed,Accept,relatively_shortLen,Phase 1,Male,Basic Science,Parallel Assignment,Non-Randomized,smallEnrol,5,adults,noAD
Completed,No,medianLen,Phase 4,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,2,elderly-adults,very_highAD
Completed,No,shortLen,Phase 3,Female,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,noAD
Completed,No,relatively_shortLen,Phase 2,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,elderly-adults,highAD
Completed,No,medianLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,largeEnrol,1,elderly-adults,highAD
Completed,Accept,shortLen,Phase 1,Female,Other,Parallel Assignment,Randomized,smallEnrol,6,adults,noAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,1,elderly-adults,very_highAD
Completed,No,medianLen,Phase 2,All,Treatment,Parallel Assignment,Non-Randomized,smallEnrol,1,childTeen-infants,very_highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,very_highAD
Completed,No,relatively_shortLen,Phase 4,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,2,elderly-adults,very_highAD
Completed,Accept,medianLen,Phase 4,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,2,elderly-adults,noAD
Terminated,No,medianLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,infants,very_highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,4,elderly-adults,very_highAD
Completed,No,relatively_shortLen,Not Applicable,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,elderly-adults,noAD
Terminated,No,relatively_shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,elderly-adults,very_highAD
Completed,No,shortLen,Not Applicable,All,Diagnostic,Parallel Assignment,Randomized,smallEnrol,2,infants,noAD
Terminated,No,longLen,Phase 2,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,9,adults,very_highAD
Completed,No,shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,smallEnrol,3,elderly-adults,very_highAD
Completed,No,medianLen,Phase 2,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,elderly-adults,noAD
Completed,Accept,medianLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,very_largeEnrol,5,infants,very_highAD
Completed,No,shortLen,Not Applicable,All,Diagnostic,Parallel Assignment,Randomized,median_Enrol,4,allAges,noAD
Completed,No,shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,3,elderly-adults,noAD
Terminated,No,relatively_shortLen,Phase 3,Female,Treatment,Parallel Assignment,Randomized,smallEnrol,3,elderly-adults,noAD
Completed,Accept,relatively_shortLen,Not Applicable,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,1,childTeen-infants,noAD
Completed,Accept,relatively_shortLen,Not Applicable,All,Diagnostic,Parallel Assignment,Non-Randomized,relatively_smallEnrol,1,elderly-adults,medianAD
Completed,Accept,shortLen,Not Applicable,Female,Treatment,Parallel Assignment,Randomized,median_Enrol,1,adults,noAD
Completed,No,medianLen,Phase 2,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,elderly-adults,very_highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-childTeen,very_highAD
Terminated,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,smallEnrol,5,adults-infants,very_highAD
Completed,No,medianLen,Phase 2,All,Treatment,Single Group Assignment,SingleArmNA,relatively_smallEnrol,2,elderly-adults,very_highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,largeEnrol,2,elderly-adults,highAD
Completed,No,longLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,very_highAD
Completed,No,longLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,very_largeEnrol,2,allAges,highAD
Completed,No,medianLen,Phase 2,All,Treatment,Parallel Assignment,Non-Randomized,relatively_smallEnrol,2,elderly-adults,very_highAD
Completed,No,relatively_shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,4,allAges,highAD
Completed,No,relatively_shortLen,Phase 2,All,Prevention,Single Group Assignment,Randomized,relatively_smallEnrol,2,infants,highAD
Completed,No,relatively_shortLen,Not Applicable,All,Prevention,Parallel Assignment,Randomized,largeEnrol,1,elderly-adults,noAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,3,elderly-adults,highAD
Completed,No,shortLen,Not Applicable,All,Other,Single Group Assignment,Non-Randomized,median_Enrol,2,elderly-childTeen,noAD
"Active, not recruiting",No,longLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,7,elderly-adults,highAD
Completed,No,shortLen,Phase 4,All,Prevention,Parallel Assignment,Non-Randomized,smallEnrol,1,elderly,noAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,allAges,noAD
Completed,Accept,medianLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,median_Enrol,2,childTeen,highAD
Completed,No,relatively_shortLen,Phase 4,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,2,elderly-adults,highAD
Completed,No,medianLen,Phase 4,All,Treatment,Parallel Assignment,Randomized,median_Enrol,6,elderly-childTeen,very_highAD
Completed,No,medianLen,Phase 4,Female,Prevention,Parallel Assignment,Randomized,median_Enrol,2,elderly-childTeen,very_highAD
Completed,No,relatively_shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,3,elderly-adults,very_highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,largeEnrol,2,elderly-adults,highAD
Completed,No,medianLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,highAD
Completed,Accept,relatively_shortLen,Phase 1|Phase 2,Female,Treatment,Parallel Assignment,Non-Randomized,smallEnrol,3,elderly-adults,very_highAD
Terminated,No,relatively_shortLen,Phase 1|Phase 2,All,Prevention,Parallel Assignment,Randomized,smallEnrol,1,infants,noAD
Completed,No,medianLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,6,elderly-adults,very_highAD
Completed,Accept,shortLen,Phase 3,All,Prevention,Parallel Assignment,Non-Randomized,relatively_smallEnrol,1,adults-infants,noAD
Completed,No,shortLen,Phase 3,All,Treatment,Single Group Assignment,Non-Randomized,smallEnrol,1,elderly-childTeen,highAD
Completed,Accept,medianLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,median_Enrol,3,childTeen,highAD
Completed,No,medianLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,1,elderly-adults,highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,highAD
Terminated,No,medianLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,smallEnrol,9,elderly-adults,very_highAD
Completed,Accept,shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,median_Enrol,2,infants,medianAD
Completed,No,medianLen,Phase 1|Phase 2,All,Treatment,Parallel Assignment,Non-Randomized,smallEnrol,1,childTeen-infants,very_highAD
Completed,No,longLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,4,adults,very_highAD
Completed,No,relatively_shortLen,Phase 4,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,elderly-adults,noAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,very_largeEnrol,6,childTeen-infants,medianAD
Completed,Accept,relatively_shortLen,Phase 4,Female,Prevention,Crossover Assignment,Randomized,median_Enrol,2,adults,very_highAD
Completed,Accept,shortLen,Phase 3,All,Prevention,Single Group Assignment,SingleArmNA,median_Enrol,1,childTeen,noAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Non-Randomized,relatively_smallEnrol,1,adults,noAD
Completed,Accept,relatively_shortLen,Phase 4,All,Prevention,Parallel Assignment,Randomized,median_Enrol,2,childTeen,medianAD
Completed,Accept,relatively_shortLen,Phase 4,All,Prevention,Parallel Assignment,Non-Randomized,relatively_smallEnrol,2,adults,noAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,median_Enrol,3,childTeen-infants,medianAD
Completed,Accept,shortLen,Phase 3,All,Prevention,Parallel Assignment,Non-Randomized,median_Enrol,2,infants,medianAD
Completed,Accept,longLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,largeEnrol,3,elderly-adults,medianAD
Completed,Accept,shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,median_Enrol,3,infants,highAD
Completed,Accept,shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,largeEnrol,2,elderly-adults,medianAD
Completed,Accept,relatively_shortLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,median_Enrol,3,infants,highAD
Terminated,No,relatively_shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,elderly-adults,highAD
Completed,Accept,relatively_shortLen,Phase 1,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,4,adults,noAD
Terminated,Accept,medianLen,Phase 1,All,Other,Parallel Assignment,Randomized,smallEnrol,4,adults,noAD
Completed,No,longLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,smallEnrol,4,elderly-adults,very_highAD
Completed,No,relatively_shortLen,Phase 2,Male,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,adults-childTeen,noAD
Completed,No,relatively_shortLen,Phase 2,Female,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,adults,highAD
Completed,Accept,shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,smallEnrol,3,adults,noAD
Completed,No,relatively_shortLen,Phase 3,All,Prevention,Single Group Assignment,SingleArmNA,median_Enrol,2,elderly-adults,very_highAD
Completed,No,medianLen,Phase 3,All,Prevention,Single Group Assignment,SingleArmNA,median_Enrol,4,elderly-childTeen,highAD
Completed,Accept,medianLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,very_largeEnrol,2,adults,highAD
Completed,Accept,medianLen,Not Applicable,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,allAges,noAD
Completed,No,medianLen,Phase 4,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-childTeen,very_highAD
Completed,No,relatively_shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,1,adults,highAD
Terminated,No,relatively_shortLen,Phase 4,All,Treatment,Parallel Assignment,Randomized,smallEnrol,3,elderly-adults,very_highAD
Terminated,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,smallEnrol,7,elderly-adults,noAD
Completed,No,medianLen,Not Applicable,All,Treatment,Crossover Assignment,Randomized,smallEnrol,2,elderly-adults,medianAD
Completed,No,medianLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,median_Enrol,2,adults,highAD
Completed,No,relatively_shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,smallEnrol,2,adults,highAD
Completed,Accept,relatively_shortLen,Phase 1,All,Prevention,Parallel Assignment,Randomized,smallEnrol,4,childTeen,highAD
Completed,No,medianLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,very_highAD
Completed,No,relatively_shortLen,Not Applicable,All,Other,Parallel Assignment,Randomized,median_Enrol,5,elderly-adults,highAD
Completed,No,shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,smallEnrol,5,elderly-adults,highAD
Completed,No,relatively_shortLen,Not Applicable,Female,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,2,elderly-adults,noAD
Completed,No,relatively_shortLen,Phase 4,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,2,childTeen-infants,medianAD
Completed,No,medianLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,largeEnrol,3,elderly-childTeen,highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,elderly-adults,noAD
Completed,Accept,shortLen,Phase 2,All,Prevention,Sequential Assignment,Randomized,relatively_smallEnrol,5,adults,noAD
Completed,Accept,shortLen,Phase 1,All,Treatment,Single Group Assignment,Randomized,smallEnrol,2,adults,noAD
Completed,Accept,shortLen,Phase 1,Male,Basic Science,Parallel Assignment,Randomized,smallEnrol,7,adults,noAD
Terminated,No,relatively_shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,3,elderly-adults,very_highAD
Completed,No,medianLen,Phase 1|Phase 2,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,1,elderly-adults,very_highAD
Completed,No,shortLen,Phase 4,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,elderly-adults,noAD
Completed,Accept,shortLen,Phase 1,Male,Treatment,Crossover Assignment,Randomized,smallEnrol,2,adults,noAD
Completed,Accept,shortLen,Phase 2,All,Prevention,Parallel Assignment,Non-Randomized,smallEnrol,1,adults,noAD
Completed,Accept,shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,3,infants,highAD
Completed,Accept,relatively_shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,3,adults-infants,highAD
Completed,Accept,shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,smallEnrol,4,adults,noAD
Completed,Accept,shortLen,Phase 1,All,Prevention,Parallel Assignment,Randomized,smallEnrol,2,adults,highAD
Completed,No,relatively_shortLen,Not Applicable,All,Health Services Research,Parallel Assignment,Randomized,largeEnrol,1,allAges,highAD
Completed,Accept,relatively_shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,smallEnrol,4,adults,highAD
Completed,No,relatively_shortLen,Phase 1,All,Prevention,Parallel Assignment,Randomized,smallEnrol,2,adults,noAD
Completed,Accept,shortLen,Phase 2,All,Diagnostic,Parallel Assignment,Randomized,relatively_smallEnrol,8,elderly-adults,noAD
Completed,Accept,relatively_shortLen,Phase 1,All,Prevention,Parallel Assignment,Randomized,smallEnrol,2,adults,noAD
Completed,Accept,shortLen,Phase 1,All,Diagnostic,Single Group Assignment,Randomized,smallEnrol,1,adults,noAD
Completed,No,medianLen,Phase 4,All,Supportive Care,Parallel Assignment,Randomized,smallEnrol,2,elderly-adults,noAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,2,elderly-adults,highAD
Completed,Accept,shortLen,Not Applicable,All,Prevention,Parallel Assignment,Randomized,smallEnrol,2,adults-infants,highAD
Completed,Accept,shortLen,Phase 2,All,Other,Single Group Assignment,SingleArmNA,smallEnrol,1,adults,highAD
Completed,No,relatively_shortLen,Not Applicable,All,Health Services Research,Parallel Assignment,Non-Randomized,relatively_smallEnrol,1,elderly-adults,noAD
Completed,No,medianLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,very_highAD
Terminated,Accept,relatively_shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,2,adults,highAD
Completed,Accept,medianLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,2,adults,highAD
Completed,Accept,medianLen,Phase 1|Phase 2,All,Prevention,Parallel Assignment,Randomized,median_Enrol,4,infants,very_highAD
Completed,Accept,relatively_shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,5,infants,highAD
Completed,Accept,shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,smallEnrol,2,childTeen,noAD
Completed,No,shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,smallEnrol,3,adults,highAD
Completed,Accept,shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,6,adults,highAD
Completed,Accept,medianLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,4,adults,highAD
Completed,No,relatively_shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,1,elderly-adults,noAD
Completed,No,relatively_shortLen,Phase 2,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,childTeen-infants,noAD
